Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,166.800003,167.119995,161.479996,165.699997,140.008331,1319104
2018-01-03,166.500000,171.940002,166.179993,171.440002,144.858353,1426451
2018-01-04,172.500000,174.839996,171.279999,174.440002,147.393204,1564533
2018-01-05,176.500000,179.679993,176.300003,179.199997,151.415176,2195933
2018-01-08,180.899994,180.979996,179.139999,179.839996,151.955933,1162286
2018-01-09,179.839996,181.559998,178.220001,180.240005,152.293915,1061304
2018-01-10,179.619995,180.160004,177.240005,178.199997,150.570206,1086120
2018-01-11,177.880005,179.440002,176.220001,177.800003,150.232239,1037871
2018-01-12,179.800003,180.300003,178.839996,179.820007,151.939041,983517
2018-01-15,180.800003,180.800003,178.500000,179.899994,152.006622,696267
2018-01-16,180.179993,185.740005,179.880005,184.000000,155.470917,1960833
2018-01-17,183.820007,183.899994,180.059998,180.699997,152.682587,1479320
2018-01-18,182.080002,182.100006,179.320007,179.960007,152.057327,1187082
2018-01-19,179.600006,183.720001,179.399994,183.720001,155.234344,1565822
2018-01-22,182.919998,188.899994,182.279999,188.500000,159.273209,1764845
2018-01-23,189.660004,192.460007,186.419998,187.259995,158.225464,1849879
2018-01-24,188.000000,188.979996,184.020004,184.020004,155.487839,1350565
2018-01-25,182.839996,184.820007,179.460007,181.380005,153.257156,1492560
2018-01-26,181.820007,182.619995,180.580002,181.899994,153.696518,834092
2018-01-29,184.899994,185.800003,182.000000,182.080002,153.848633,1031696
2018-01-30,180.500000,182.020004,178.300003,178.600006,150.908203,1345896
2018-01-31,178.259995,180.880005,176.660004,177.020004,149.573166,1292804
2018-02-01,178.520004,181.619995,175.100006,177.600006,150.063248,1419121
2018-02-02,176.399994,177.100006,171.360001,172.059998,145.382217,2080247
2018-02-05,170.399994,171.440002,168.699997,168.839996,142.661469,1675116
2018-02-06,160.000000,168.580002,158.059998,165.259995,139.636536,2841768
2018-02-07,168.679993,172.100006,166.500000,171.380005,144.807663,2177110
2018-02-08,170.380005,171.800003,163.300003,164.800003,139.247864,1738159
2018-02-09,164.440002,167.880005,161.899994,163.199997,137.895950,2218393
2018-02-12,166.279999,168.960007,164.880005,165.860001,140.143524,1439752
2018-02-13,166.000000,167.020004,163.559998,163.720001,138.335327,1042373
2018-02-14,165.600006,166.860001,160.479996,166.080002,140.329407,1555342
2018-02-15,167.820007,169.600006,163.440002,165.080002,139.484467,1400673
2018-02-16,166.479996,168.300003,165.820007,167.279999,141.343353,1239702
2018-02-19,168.020004,168.619995,165.339996,165.860001,140.143524,632594
2018-02-20,166.000000,166.500000,162.380005,164.860001,139.298584,1260827
2018-02-21,164.380005,164.380005,161.639999,163.559998,138.200150,1137050
2018-02-22,161.779999,164.639999,160.259995,163.919998,138.504318,1123920
2018-02-23,164.619995,165.419998,159.000000,162.600006,137.388977,1946368
2018-02-26,164.000000,168.100006,163.380005,165.539993,139.873138,1690344
2018-02-27,166.320007,166.940002,162.199997,164.059998,138.622589,1488978
2018-02-28,162.419998,163.559998,160.740005,161.119995,136.138458,1397915
2018-03-01,160.600006,160.699997,156.339996,157.160004,132.792450,2062128
2018-03-02,155.179993,155.559998,152.160004,153.759995,129.919617,2093492
2018-03-05,151.899994,154.960007,151.320007,153.539993,129.733719,1697684
2018-03-06,156.639999,159.479996,156.039993,157.000000,132.657242,1936246
2018-03-07,156.320007,157.080002,153.759995,156.000000,131.812332,1401561
2018-03-08,156.000000,157.259995,153.279999,156.720001,132.420670,1307704
2018-03-09,156.000000,157.779999,154.600006,156.880005,132.555862,1096932
2018-03-12,158.580002,159.500000,158.000000,158.580002,133.992279,940146
2018-03-13,159.179993,159.820007,153.500000,154.520004,130.561813,2077985
2018-03-14,154.699997,157.580002,154.100006,156.699997,132.403763,1690534
2018-03-15,157.520004,161.500000,157.520004,161.000000,136.037048,1949481
2018-03-16,162.000000,163.800003,160.880005,162.119995,136.983398,2001883
2018-03-19,161.440002,161.899994,158.520004,159.539993,134.803436,1274303
2018-03-20,159.880005,161.899994,158.800003,161.300003,136.290558,949162
2018-03-21,161.520004,161.880005,159.660004,160.500000,135.614594,888633
2018-03-22,159.000000,160.820007,155.419998,157.979996,133.485321,1277267
2018-03-23,156.000000,156.479996,152.199997,153.679993,129.852020,1954317
2018-03-26,153.820007,157.539993,152.860001,154.740005,130.747665,1299574
2018-03-27,158.919998,159.520004,156.179993,156.460007,132.200989,1227554
2018-03-28,155.479996,155.660004,153.179993,155.000000,130.967361,1290547
2018-03-29,155.960007,162.220001,155.320007,161.380005,136.358139,2427652
2018-04-03,159.619995,163.380005,157.919998,162.380005,137.203094,1365832
2018-04-04,162.880005,162.880005,157.720001,161.500000,136.459534,1297364
2018-04-05,164.600006,167.119995,163.139999,167.119995,141.208160,1602811
2018-04-06,166.139999,166.380005,163.960007,165.000000,139.416870,1093634
2018-04-09,166.100006,166.500000,163.020004,164.259995,138.791595,897827
2018-04-10,167.500000,172.500000,166.539993,171.580002,144.976639,2478287
2018-04-11,171.800003,173.559998,169.919998,173.160004,146.311661,1743565
2018-04-12,173.539993,178.300003,173.339996,176.600006,149.218307,2090322
2018-04-13,178.500000,179.600006,174.380005,177.279999,149.792847,1754153
2018-04-16,178.179993,178.600006,171.619995,172.139999,145.449814,1439618
2018-04-17,172.979996,174.979996,171.779999,174.740005,147.646698,1127054
2018-04-18,175.360001,175.820007,173.720001,174.360001,147.325607,981031
2018-04-19,174.179993,174.759995,172.339996,173.279999,146.413055,1040354
2018-04-20,173.460007,173.759995,170.479996,171.100006,144.571075,1155947
2018-04-23,170.759995,171.440002,168.820007,169.440002,143.168442,1014503
2018-04-24,169.440002,170.539993,168.059998,169.639999,143.337433,966825
2018-04-25,169.199997,169.600006,164.500000,167.000000,141.106766,1329102
2018-04-26,167.000000,174.380005,167.000000,171.440002,144.858353,1839110
2018-04-27,172.539993,173.559998,171.419998,172.720001,145.939896,1137801
2018-04-30,173.100006,173.619995,170.440002,171.839996,145.196335,828466
2018-05-02,171.699997,178.119995,171.639999,177.839996,150.266022,1905094
2018-05-03,177.000000,177.960007,176.039993,176.039993,148.745117,1534996
2018-05-04,172.399994,173.119995,170.839996,172.720001,149.298325,951734
2018-05-07,171.720001,176.399994,170.919998,176.220001,152.323715,871213
2018-05-08,175.979996,176.720001,173.059998,173.720001,150.162735,1018196
2018-05-09,172.520004,173.520004,170.419998,170.800003,147.638702,1097121
2018-05-10,170.800003,172.039993,168.940002,171.600006,148.330231,666136
2018-05-11,171.279999,172.639999,170.259995,172.300003,148.935303,679104
2018-05-14,171.940002,172.179993,170.259995,171.339996,148.105484,598549
